Char	Lexicality	Key	PY	Pho	IPA	Tone	Initial	SyStruct	SyLen	PyLen	SegLen	PhoLen	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	FreqDowls	FreqDL	Homophones	HD	PND	Sub_PND	Add_PND	Del_PND	Neighbors	NF	CC	CS	Btw	Close	Eigen
氁	added	mu	mu	m u	mu	NA	m	CV	1	2	2	2	added	0	0		0	0	亩, 姆, 姥, 拇, 母, 牡, 募, 墓, 幕, 慕, 暮, 木, 沐, 牧, 目, 睦, 穆, 苜	18	49	35	13	1	p u, m a, m eI, C u, m @n, Z u, m aI, S u, f u, m iN, t u, l u, K u, r u, m aN, m an, m i, m aU, z u, k u, T u, m @N, x u, m oU, s u, P u, i u, m in, n u, c u, iN u, u u, m ir, yn u, @r u, m u o, m u oU, m u u, iN m u, m u y, aI m u, @r m u, in m u, m i u, m u aI, m aU u, yn m u, i m u, u	70923.8285714	0.31	0	0	0	0
么	added	muo	muo	m u o	muo	NA	m	CGV	1	3	3	3	added	0	0		0	0	摸, 摩, 摹, 模, 磨, 蘑, 谟, 馍, 魔, 抹, 寞, 末, 殁, 沫, 漠, 脉, 膜, 茉, 莫, 貘, 陌, 墨, 默	23	31	21	8	2	S u o, x u o, z u o, k u o, t u o, c u o, s u o, l u o, T u o, p u o, P u o, r u o, n u o, Z u o, C u o, m u oU, m u u, m u y, K u o, i u o, m u aI, @ m u o, an m u o, m u o aI, in m u o, m u o i, m u o y, @r m u o, aI m u o, u o, m u	882642.77381	0.38	0	0	0	0
蓦	added	muo	mo	m u o	muo	NA	m	CGV	1	2	3	3	added	0	0		0	0	摸, 摩, 摹, 模, 磨, 蘑, 谟, 馍, 魔, 抹, 寞, 末, 殁, 沫, 漠, 脉, 膜, 茉, 莫, 貘, 陌, 墨, 默	23	31	21	8	2	S u o, x u o, z u o, k u o, t u o, c u o, s u o, l u o, T u o, p u o, P u o, r u o, n u o, Z u o, C u o, m u oU, m u u, m u y, K u o, i u o, m u aI, @ m u o, an m u o, m u o aI, in m u o, m u o i, m u o y, @r m u o, aI m u o, u o, m u	882642.77381	0.38	0	0	0	0
哪	added	n@	ne	n @	nə	NA	n	CV	1	2	2	2	added	0	0		0	0	呢, 讷	2	31	30	0	1	t @, n i, l @, Z @, n a, k @, n @N, K @, C @, n ar, x @, n in, n an, n oN, n y, n eI, S @, r @, T @, n aU, s @, z @, n aI, c @, n u, n iN, n @n, n aN, aI @, y @, @	201330.466667	0.48	0	0	0	0
螚	added	n@N	neng	n @N	nəŋ	NA	n	CVN	1	4	3	2	added	0	0		0	0	能	1	35	33	2	0	n i, n a, n @, t @N, Z @N, n ar, C @N, S @N, n in, n an, n oN, f @N, n y, n eI, r @N, m @N, z @N, P @N, n aU, T @N, l @N, c @N, n aI, x @N, p @N, n u, n iN, K @N, n @n, n aN, k @N, u @N, s @N, u n @N, i n @N	57931.1969697	0.44	0	0	0	0
㲌	added	n@N	neng	n @N	nəŋ	NA	n	CVN	1	4	3	2	added	0	0		0	0	能	1	35	33	2	0	n i, n a, n @, t @N, Z @N, n ar, C @N, S @N, n in, n an, n oN, f @N, n y, n eI, r @N, m @N, z @N, P @N, n aU, T @N, l @N, c @N, n aI, x @N, p @N, n u, n iN, K @N, n @n, n aN, k @N, u @N, s @N, u n @N, i n @N	57931.1969697	0.44	0	0	0	0
捺	added	na	na	n a	na	NA	n	CV	1	2	2	2	added	0	0		0	0	拿, 镎, 哪, 嗱, 吶, 呐, 纳, 那, 钠	9	35	34	0	1	n i, T a, p a, m a, n @N, t a, n @, S a, n ar, l a, n in, n an, i a, n oN, C a, u a, f a, n y, P a, n eI, x a, z a, K a, Z a, n aU, s a, n aI, c a, n u, n iN, n @n, n aN, a a, k a, a	227879.264706	0.5	0	0	0	0
腉	added	naI	nai	n aI	naɪ	NA	n	CVV	1	3	3	2	added	0	0		0	0	乃, 奶, 氖, 迺, 奈, 柰, 耐, 萘	8	36	33	2	1	n i, z aI, n a, l aI, n @N, n @, T aI, t aI, c aI, k aI, x aI, K aI, m aI, n ar, n in, P aI, n an, n oN, n y, p aI, n eI, u aI, n aU, s aI, C aI, n u, Z aI, n iN, S aI, n @n, n aN, @n aI, aI aI, u n aI, n i aI, aI	123133.393939	0.44	0	0	0	0
䕼	added	nan	nan	n an	nan	NA	n	CVN	1	3	3	2	added	0	0		0	0	囡, 南, 喃, 楠, 男, 难, 萳, 蝻, 赧	9	46	37	8	1	n i, n a, n @N, K an, n @, t an, u an, n ar, p an, T an, s an, n in, k an, Z an, n oN, f an, S an, m an, n y, l an, n eI, x an, n aU, P an, c an, n aI, C an, z an, r an, n u, n iN, i an, n @n, in an, n aN, y an, an an, n an i, n u an, y n an, i n an, n an y, n an @r, n an iN, n an an, an	71694.1452703	0.37	0	0	0	0
諵	added	nan	nan	n an	nan	NA	n	CVN	1	3	3	2	added	0	0		0	0	囡, 南, 喃, 楠, 男, 难, 萳, 蝻, 赧	9	46	37	8	1	n i, n a, n @N, K an, n @, t an, u an, n ar, p an, T an, s an, n in, k an, Z an, n oN, f an, S an, m an, n y, l an, n eI, x an, n aU, P an, c an, n aI, C an, z an, r an, n u, n iN, i an, n @n, in an, n aN, y an, an an, n an i, n u an, y n an, i n an, n an y, n an @r, n an iN, n an an, an	71694.1452703	0.37	0	0	0	0
