Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
ri a N 1									0.000	0	0	0.0		0		0	0.000		25	24	0	1	p a N 1, t a N 1, Ji a N 1, Qi a N 1, k a N 1, Z a N 1, Zu a N 1, S a N 1, Xi a N 1, ku a N 1, Su a N 1, f a N 1, T a N 1, c a N 1, Cu a N 1, xu a N 1, s a N 1, K a N 1, Ku a N 1, C a N 1, i a N 1, z a N 1, P a N 1, u a N 1, a N 1	6405.375
ri a n 2									0.000	0	0	0.0		0		0	0.000		17	17	0	0	xu a n 2, u a n 2, n a n 2, T a n 2, Cu a n 2, l a n 2, f a n 2, m a n 2, P a n 2, Tu a n 2, x a n 2, z a n 2, C a n 2, r a n 2, c a n 2, lu a n 2, ru a n 2	11993.7058824
ri a N 2									0.000	0	0	0.0		0		0	0.000		20	19	0	1	m a N 2, Cu a N 2, Qi a N 2, c a N 2, f a N 2, C a N 2, T a N 2, ni a N 2, Ku a N 2, l a N 2, u a N 2, i a N 2, P a N 2, li a N 2, xu a N 2, x a N 2, n a N 2, Xi a N 2, r a N 2, a N 2	2613.57894737
ri a n 3									0.000	0	0	0.0		0		0	0.000		27	26	0	1	k a n 3, ku a n 3, u a n 3, Zu a n 3, m a n 3, tu a n 3, p a n 3, f a n 3, x a n 3, K a n 3, c a n 3, S a n 3, C a n 3, Ku a n 3, Z a n 3, r a n 3, ru a n 3, Cu a n 3, nu a n 3, l a n 3, t a n 3, T a n 3, s a n 3, lu a n 3, z a n 3, xu a n 3, a n 3	2337.92307692
ri a N 3									0.000	0	0	0.0		0		0	0.000		22	22	0	0	Xi a N 3, li a N 3, Z a N 3, C a N 3, Ji a N 3, u a N 3, i a N 3, T a N 3, Qi a N 3, t a N 3, Su a N 3, p a N 3, xu a N 3, Cu a N 3, l a N 3, k a N 3, f a N 3, ku a N 3, S a N 3, r a N 3, s a N 3, m a N 3	14404.5
ri a n 4									0.000	0	0	0.0		0		0	0.000		27	26	0	1	K a n 4, t a n 4, su a n 4, Z a n 4, p a n 4, tu a n 4, xu a n 4, T a n 4, f a n 4, u a n 4, S a n 4, m a n 4, lu a n 4, l a n 4, Zu a n 4, ku a n 4, x a n 4, P a n 4, s a n 4, z a n 4, Cu a n 4, cu a n 4, Su a n 4, zu a n 4, c a n 4, n a n 4, a n 4	18840.2307692
ri a N 4									0.000	0	0	0.0		0		0	0.000		27	26	0	1	r a N 4, S a N 4, Xi a N 4, p a N 4, f a N 4, li a N 4, u a N 4, C a N 4, Zu a N 4, Z a N 4, i a N 4, T a N 4, z a N 4, Ji a N 4, P a N 4, K a N 4, l a N 4, ku a N 4, Ku a N 4, Cu a N 4, t a N 4, Qi a N 4, ni a N 4, k a N 4, x a N 4, xu a N 4, a N 4	15130.9615385
ri a r 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri a r 1									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri a r 2									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri a r 3									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri a r 4									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri a U 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri a U 1									0.000	0	0	0.0		0		0	0.000		25	24	0	1	i a U 1, k a U 1, z a U 1, Ji a U 1, S a U 1, Z a U 1, p a U 1, c a U 1, C a U 1, m a U 1, t a U 1, Ti a U 1, Qi a U 1, pi a U 1, P a U 1, Xi a U 1, Pi a U 1, T a U 1, ti a U 1, s a U 1, l a U 1, mi a U 1, K a U 1, n a U 1, a U 1	3980.95833333
ri a U 2									0.000	0	0	0.0		0		0	0.000		18	17	0	1	Ti a U 2, Qi a U 2, T a U 2, li a U 2, l a U 2, i a U 2, m a U 2, x a U 2, r a U 2, C a U 2, mi a U 2, P a U 2, n a U 2, c a U 2, S a U 2, Pi a U 2, Xi a U 2, a U 2	2817.58823529
ri a U 3									0.000	0	0	0.0		0		0	0.000		27	26	0	1	li a U 3, Z a U 3, Xi a U 3, k a U 3, l a U 3, z a U 3, P a U 3, Ji a U 3, S a U 3, C a U 3, t a U 3, mi a U 3, p a U 3, K a U 3, i a U 3, ni a U 3, n a U 3, pi a U 3, c a U 3, Qi a U 3, T a U 3, s a U 3, ti a U 3, r a U 3, m a U 3, Pi a U 3, a U 3	43353.6923077
ri a U 4									0.000	0	0	0.0		0		0	0.000		26	25	0	1	x a U 4, i a U 4, t a U 4, Ji a U 4, ti a U 4, Ti a U 4, Xi a U 4, K a U 4, p a U 4, Z a U 4, T a U 4, Pi a U 4, m a U 4, ni a U 4, z a U 4, P a U 4, n a U 4, r a U 4, k a U 4, li a U 4, mi a U 4, Qi a U 4, S a U 4, l a U 4, c a U 4, a U 4	35449.4
ri E 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri E 1									0.000	0	0	0.0		0		0	0.000		14	14	0	0	Xi E 1, Ji E 1, y E 1, Ti E 1, Qy E 1, ni E 1, pi E 1, ti E 1, Xy E 1, li E 1, i E 1, Pi E 1, Jy E 1, mi E 1	3069.92857143
ri E 2									0.000	0	0	0.0		0		0	0.000		8	8	0	0	Xy E 2, Ji E 2, i E 2, Xi E 2, Jy E 2, ti E 2, Qy E 2, Qi E 2	2897.625
ri E 3									0.000	0	0	0.0		0		0	0.000		8	8	0	0	i E 3, Xi E 3, Ji E 3, Xy E 3, Ti E 3, Qi E 3, Pi E 3, pi E 3	19417.75
ri E 4									0.000	0	0	0.0		0		0	0.000		13	13	0	0	pi E 4, y E 4, Qy E 4, Ji E 4, i E 4, Xi E 4, Qi E 4, li E 4, mi E 4, ni E 4, ly E 4, Xy E 4, ny E 4	9307.23076923
ri E n 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri E n 1									0.000	0	0	0.0		0		0	0.000		13	13	0	0	Ti E n 1, Xi E n 1, Ji E n 1, pi E n 1, Qi E n 1, Qy E n 1, Pi E n 1, i E n 1, Jy E n 1, ti E n 1, y E n 1, Xy E n 1, ni E n 1	7080.38461538
ri E n 2									0.000	0	0	0.0		0		0	0.000		11	11	0	0	Qi E n 2, ni E n 2, y E n 2, Qy E n 2, li E n 2, Ti E n 2, i E n 2, Xi E n 2, mi E n 2, Xy E n 2, Pi E n 2	15469.8181818
ri E n 3									0.000	0	0	0.0		0		0	0.000		14	14	0	0	ti E n 3, Xy E n 3, y E n 3, i E n 3, li E n 3, Ji E n 3, Xi E n 3, Ti E n 3, Qy E n 3, pi E n 3, mi E n 3, Qi E n 3, ni E n 3, Jy E n 3	7895.78571429
ri E n 4									0.000	0	0	0.0		0		0	0.000		15	15	0	0	Ji E n 4, pi E n 4, Pi E n 4, ti E n 4, Xi E n 4, mi E n 4, y E n 4, Qi E n 4, li E n 4, Jy E n 4, ni E n 4, i E n 4, Qy E n 4, Xy E n 4, Ti E n 4	7301.73333333
r i n 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
r i N 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
r i n 1									0.000	0	0	0.0		0		0	0.000		6	5	0	1	X i n 1, J i n 1, Q i n 1, P i n 1, p i n 1, i n 1	11054.6
r i N 1									0.000	0	0	0.0		0		0	0.000		10	9	0	1	T i N 1, J i N 1, Q i N 1, r @ N 1, t i N 1, X i N 1, p i N 1, l i N 1, P i N 1, i N 1	14614.1111111
r i n 2									0.000	0	0	0.0		0		0	0.000		9	8	0	1	r @ n 2, n i n 2, l i n 2, Q i n 2, r a n 2, m i n 2, P i n 2, X i n 2, i n 2	27892.75
r i N 2									0.000	0	0	0.0		0		0	0.000		11	10	0	1	X i N 2, m i N 2, T i N 2, P i N 2, Q i N 2, l i N 2, r @ N 2, r o N 2, n i N 2, r a N 2, i N 2	15607.6
r i n 3									0.000	0	0	0.0		0		0	0.000		7	6	0	1	J i n 3, r @ n 3, r a n 3, P i n 3, m i n 3, Q i n 3, i n 3	2592.33333333
r i N 3									0.000	0	0	0.0		0		0	0.000		11	10	0	1	Q i N 3, T i N 3, X i N 3, J i N 3, p i N 3, t i N 3, l i N 3, r a N 3, m i N 3, r o N 3, i N 3	6202.3
r i n 4									0.000	0	0	0.0		0		0	0.000		7	6	0	1	J i n 4, X i n 4, r @ n 4, r u n 4, P i n 4, p i n 4, i n 4	7159.0
r i N 4									0.000	0	0	0.0		0		0	0.000		9	8	0	1	r a N 4, p i N 4, l i N 4, t i N 4, X i N 4, m i N 4, J i N 4, Q i N 4, i N 4	24538.5
ri o n 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri o N 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri o n 1									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri o N 1									0.000	0	0	0.0		0		0	0.000		13	13	0	0	Z o N 1, C o N 1, k o N 1, T o N 1, K o N 1, Xi o N 1, t o N 1, s o N 1, z o N 1, x o N 1, c o N 1, i o N 1, Ji o N 1	4358.23076923
ri o n 2									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri o N 2									0.000	0	0	0.0		0		0	0.000		9	9	0	0	c o N 2, T o N 2, C o N 2, x o N 2, l o N 2, r o N 2, Xi o N 2, n o N 2, Qi o N 2	7504.55555556
ri o n 3									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri o N 3									0.000	0	0	0.0		0		0	0.000		13	13	0	0	Z o N 3, z o N 3, t o N 3, T o N 3, i o N 3, K o N 3, x o N 3, s o N 3, k o N 3, C o N 3, Ji o N 3, l o N 3, r o N 3	2804.07692308
ri o n 4									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri o N 4									0.000	0	0	0.0		0		0	0.000		11	11	0	0	i o N 4, n o N 4, s o N 4, t o N 4, T o N 4, k o N 4, K o N 4, Z o N 4, z o N 4, x o N 4, l o N 4	8788.27272727
ri o U 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri o U 1									0.000	0	0	0.0		0		0	0.000		17	16	0	1	t o U 1, Z o U 1, T o U 1, ti o U 1, S o U 1, Xi o U 1, s o U 1, C o U 1, i o U 1, li o U 1, ni o U 1, k o U 1, Qi o U 1, Ji o U 1, K o U 1, m o U 1, o U 1	20775.875
ri o U 2									0.000	0	0	0.0		0		0	0.000		12	11	0	1	Qi o U 2, T o U 2, li o U 2, i o U 2, l o U 2, ni o U 2, C o U 2, x o U 2, m o U 2, r o U 2, Z o U 2, o U 2	74901.0909091
ri o U 3									0.000	0	0	0.0		0		0	0.000		20	19	0	1	i o U 3, z o U 3, S o U 3, Ji o U 3, k o U 3, K o U 3, m o U 3, C o U 3, ni o U 3, x o U 3, Xi o U 3, t o U 3, f o U 3, l o U 3, Qi o U 3, li o U 3, Z o U 3, P o U 3, s o U 3, o U 3	22336.3157895
ri o U 4									0.000	0	0	0.0		0		0	0.000		19	18	0	1	Ji o U 4, i o U 4, x o U 4, k o U 4, S o U 4, li o U 4, Xi o U 4, C o U 4, r o U 4, T o U 4, t o U 4, z o U 4, K o U 4, l o U 4, Z o U 4, c o U 4, mi o U 4, ni o U 4, o U 4	50789.3333333
r o n 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
r o N 0									0.000	0	0	0.0		0		0	0.000		2	2	0	0	r o N 2, r o N 3	670.5
r o n 1									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
r o N 1									0.000	0	0	0.0		0		0	0.000		16	16	0	0	Z o N 1, r @ N 1, C o N 1, k o N 1, T o N 1, K o N 1, Xi o N 1, t o N 1, r o N 2, s o N 1, z o N 1, x o N 1, c o N 1, i o N 1, Ji o N 1, r o N 3	3883.9375
r o n 2									0.000	0	0	0.0		0		0	0.000		4	4	0	0	r @ n 2, r o N 2, r a n 2, r o U 2	49322.25
r o n 3									0.000	0	0	0.0		0		0	0.000		3	3	0	0	r @ n 3, r a n 3, r o N 3	549.0
r o n 4									0.000	0	0	0.0		0		0	0.000		3	3	0	0	r o U 4, r @ n 4, r u n 4	1608.0
r o N 4									0.000	0	0	0.0		0		0	0.000		15	15	0	0	r a N 4, i o N 4, n o N 4, s o N 4, t o N 4, r o U 4, T o N 4, k o N 4, K o N 4, r o N 2, Z o N 4, z o N 4, x o N 4, l o N 4, r o N 3	14951.9333333
r o U 0									0.000	0	0	0.0		0		0	0.000		2	2	0	0	r o U 4, r o U 2	1352.0
r o U 1									0.000	0	0	0.0		0		0	0.000		19	18	0	1	t o U 1, Z o U 1, T o U 1, ti o U 1, S o U 1, Xi o U 1, r o U 4, s o U 1, C o U 1, i o U 1, li o U 1, ni o U 1, k o U 1, Qi o U 1, r o U 2, Ji o U 1, K o U 1, m o U 1, o U 1	19458.5555556
