Char	Lexicality	Key	PY	Pho	IPA	Tone	Onset	SyStruct	SyLen	PyLen	SegLen	PhoLen	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	FreqPM	Homophones	HD	PND	Sub_PND	Add_PND	Del_PND	Neighbors	NF	CC	CS	Btw	Close	Eigen
NA	systemicgap	SyE1	NA	S y E 1	ʂyɛ1	1	S	CGV	1	NA	3	4	NA	0	0	NA	0	NA	NA	4	3	0	1	Q y E 1, X y E 1, J y E 1, y E 1	3245.66666667	1	NA	NA	NA	NA
NA	systemicgap	SyE2	NA	S y E 2	ʂyɛ2	2	S	CGV	1	NA	3	4	NA	0	0	NA	0	NA	NA	3	3	0	0	X y E 2, J y E 2, Q y E 2	2964.66666667	1	NA	NA	NA	NA
NA	systemicgap	SyE3	NA	S y E 3	ʂyɛ3	3	S	CGV	1	NA	3	4	NA	0	0	NA	0	NA	NA	1	1	0	0	X y E 3	975	0	NA	NA	NA	NA
NA	systemicgap	SyE4	NA	S y E 4	ʂyɛ4	4	S	CGV	1	NA	3	4	NA	0	0	NA	0	NA	NA	5	4	0	1	Q y E 4, l y E 4, X y E 4, n y E 4, y E 4	21288	1	NA	NA	NA	NA
NA	systemicgap	SyEN0	NA	S y E N 0	ʂyɛŋ0	0	S	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	SyEN1	NA	S y E N 1	ʂyɛŋ1	1	S	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	SyEN2	NA	S y E N 2	ʂyɛŋ2	2	S	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	SyEN3	NA	S y E N 3	ʂyɛŋ3	3	S	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	SyEN4	NA	S y E N 4	ʂyɛŋ4	4	S	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	SyEn0	NA	S y E n 0	ʂyɛn0	0	S	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	SyEn1	NA	S y E n 1	ʂyɛn1	1	S	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	4	3	0	1	Q y E n 1, J y E n 1, X y E n 1, y E n 1	1019	1	NA	NA	NA	NA
NA	systemicgap	SyEn2	NA	S y E n 2	ʂyɛn2	2	S	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	3	2	0	1	Q y E n 2, X y E n 2, y E n 2	17754	1	NA	NA	NA	NA
NA	systemicgap	SyEn3	NA	S y E n 3	ʂyɛn3	3	S	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	3	2	0	1	X y E n 3, Q y E n 3, y E n 3	10178	1	NA	NA	NA	NA
NA	systemicgap	SyEn4	NA	S y E n 4	ʂyɛn4	4	S	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	4	3	0	1	J y E n 4, Q y E n 4, X y E n 4, y E n 4	4483	1	NA	NA	NA	NA
