Char	Lexicality	Key	PY	Pho	IPA	Tone	Initial	SyStruct	SyLen	PyLen	SegLen	PhoLen	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	FreqDowls	FreqDL	Homophones	HD	PND	Sub_PND	Add_PND	Del_PND	Neighbors	NF	CC	CS	Btw	Close	Eigen
閧	added	xoN	hong	x oN	xoŋ	NA	x	CVN	1	4	3	2	added	0	0		0	0	吽, 烘, 轰, 魟, 宏, 弘, 泓, 洪, 红, 虹, 讧, 鸿, 哄	13	40	32	8	0	x aU, x ueI, x @n, x uo, x uan, Z oN, x ua, c oN, x eI, x aI, x oU, x @, t oN, s oN, n oN, T oN, z oN, x uaI, C oN, x un, x a, k oN, x u, K oN, x an, x uaN, l oN, x @N, r oN, x uor, x aN, x or, x oN ueI, x oN uaI, x oN iEn, x oN i, iEn x oN, x oN yn, x oN @n, a x oN	49239.84375	0.35	0	0	0	0
訌	added	xoN	hong	x oN	xoŋ	NA	x	CVN	1	4	3	2	added	0	0		0	0	吽, 烘, 轰, 魟, 宏, 弘, 泓, 洪, 红, 虹, 讧, 鸿, 哄	13	40	32	8	0	x aU, x ueI, x @n, x uo, x uan, Z oN, x ua, c oN, x eI, x aI, x oU, x @, t oN, s oN, n oN, T oN, z oN, x uaI, C oN, x un, x a, k oN, x u, K oN, x an, x uaN, l oN, x @N, r oN, x uor, x aN, x or, x oN ueI, x oN uaI, x oN iEn, x oN i, iEn x oN, x oN yn, x oN @n, a x oN	49239.84375	0.35	0	0	0	0
㶹	added	xoN	hong	x oN	xoŋ	NA	x	CVN	1	4	3	2	added	0	0		0	0	吽, 烘, 轰, 魟, 宏, 弘, 泓, 洪, 红, 虹, 讧, 鸿, 哄	13	40	32	8	0	x aU, x ueI, x @n, x uo, x uan, Z oN, x ua, c oN, x eI, x aI, x oU, x @, t oN, s oN, n oN, T oN, z oN, x uaI, C oN, x un, x a, k oN, x u, K oN, x an, x uaN, l oN, x @N, r oN, x uor, x aN, x or, x oN ueI, x oN uaI, x oN iEn, x oN i, iEn x oN, x oN yn, x oN @n, a x oN	49239.84375	0.35	0	0	0	0
轟	added	xoN	hong	x oN	xoŋ	NA	x	CVN	1	4	3	2	added	0	0		0	0	吽, 烘, 轰, 魟, 宏, 弘, 泓, 洪, 红, 虹, 讧, 鸿, 哄	13	40	32	8	0	x aU, x ueI, x @n, x uo, x uan, Z oN, x ua, c oN, x eI, x aI, x oU, x @, t oN, s oN, n oN, T oN, z oN, x uaI, C oN, x un, x a, k oN, x u, K oN, x an, x uaN, l oN, x @N, r oN, x uor, x aN, x or, x oN ueI, x oN uaI, x oN iEn, x oN i, iEn x oN, x oN yn, x oN @n, a x oN	49239.84375	0.35	0	0	0	0
撔	added	xoN	hong	x oN	xoŋ	NA	x	CVN	1	4	3	2	added	0	0		0	0	吽, 烘, 轰, 魟, 宏, 弘, 泓, 洪, 红, 虹, 讧, 鸿, 哄	13	40	32	8	0	x aU, x ueI, x @n, x uo, x uan, Z oN, x ua, c oN, x eI, x aI, x oU, x @, t oN, s oN, n oN, T oN, z oN, x uaI, C oN, x un, x a, k oN, x u, K oN, x an, x uaN, l oN, x @N, r oN, x uor, x aN, x or, x oN ueI, x oN uaI, x oN iEn, x oN i, iEn x oN, x oN yn, x oN @n, a x oN	49239.84375	0.35	0	0	0	0
澒	added	xoN	hong	x oN	xoŋ	NA	x	CVN	1	4	3	2	added	0	0		0	0	吽, 烘, 轰, 魟, 宏, 弘, 泓, 洪, 红, 虹, 讧, 鸿, 哄	13	40	32	8	0	x aU, x ueI, x @n, x uo, x uan, Z oN, x ua, c oN, x eI, x aI, x oU, x @, t oN, s oN, n oN, T oN, z oN, x uaI, C oN, x un, x a, k oN, x u, K oN, x an, x uaN, l oN, x @N, r oN, x uor, x aN, x or, x oN ueI, x oN uaI, x oN iEn, x oN i, iEn x oN, x oN yn, x oN @n, a x oN	49239.84375	0.35	0	0	0	0
齁	added	xoU	hou	x oU	xoʊ	NA	x	CVV	1	3	3	2	added	0	0		0	0	侯, 喉, 猴, 吼, 候, 厚, 后, 後	8	56	37	18	1	x aU, x ueI, x @n, t oU, x uo, x uan, z oU, x ua, x eI, S oU, x aI, k oU, T oU, x @, Z oU, x uaI, C oU, x un, x a, K oU, l oU, x u, x an, x oN, m oU, r oU, x uaN, s oU, x @N, x uor, uan oU, x aN, c oU, f oU, oU oU, P oU, x or, i x oU, x oU yEn, uaN x oU, u@n x oU, x oU ueI, x oU i, x aI oU, u x oU, iEn x oU, @r x oU, x oU uaN, x oU aI, ioU x oU, yEn x oU, x oU iEn, x u oU, y x oU, x oU iaU, oU	153873.542042	0.26	0	0	0	0
𪖙	added	xoU	hou	x oU	xoʊ	NA	x	CVV	1	3	3	2	added	0	0		0	0	侯, 喉, 猴, 吼, 候, 厚, 后, 後	8	56	37	18	1	x aU, x ueI, x @n, t oU, x uo, x uan, z oU, x ua, x eI, S oU, x aI, k oU, T oU, x @, Z oU, x uaI, C oU, x un, x a, K oU, l oU, x u, x an, x oN, m oU, r oU, x uaN, s oU, x @N, x uor, uan oU, x aN, c oU, f oU, oU oU, P oU, x or, i x oU, x oU yEn, uaN x oU, u@n x oU, x oU ueI, x oU i, x aI oU, u x oU, iEn x oU, @r x oU, x oU uaN, x oU aI, ioU x oU, yEn x oU, x oU iEn, x u oU, y x oU, x oU iaU, oU	153873.542042	0.26	0	0	0	0
逅	added	xoU	hou	x oU	xoʊ	NA	x	CVV	1	3	3	2	added	0	0		0	0	侯, 喉, 猴, 吼, 候, 厚, 后, 後	8	56	37	18	1	x aU, x ueI, x @n, t oU, x uo, x uan, z oU, x ua, x eI, S oU, x aI, k oU, T oU, x @, Z oU, x uaI, C oU, x un, x a, K oU, l oU, x u, x an, x oN, m oU, r oU, x uaN, s oU, x @N, x uor, uan oU, x aN, c oU, f oU, oU oU, P oU, x or, i x oU, x oU yEn, uaN x oU, u@n x oU, x oU ueI, x oU i, x aI oU, u x oU, iEn x oU, @r x oU, x oU uaN, x oU aI, ioU x oU, yEn x oU, x oU iEn, x u oU, y x oU, x oU iaU, oU	153873.542042	0.26	0	0	0	0
戸	added	xu	hu	x u	xu	NA	x	CV	1	2	2	2	added	0	0		0	0	乎, 呼, 忽, 囫, 壶, 弧, 槲, 湖, 狐, 糊, 胡, 葫, 餬, 唬, 琥, 虎, 互, 怙, 户, 扈, 护, 沪, 瓠, 笏	24	71	50	20	1	p u, x aU, x ueI, x @n, x uo, x uan, x ua, C u, x eI, Z u, x aI, x oU, x @, S u, f u, t u, l u, K u, r u, x uaI, z u, k u, x un, T u, x a, x an, x oN, m u, x uaN, s u, P u, x @N, iaU u, i u, iEn u, n u, c u, x uor, x aN, iE u, uan u, ioU u, iN u, u u, u@n u, ueI u, uaI u, x or, yn u, @r u, x aU u, iEn x u, ueI x u, ioN x u, x uo u, x ueI u, x u ueI, x u uaI, i x u, x u iEn, x u ioU, u x u, aI x u, x @ u, x uaN u, in x u, x u oU, iaN x u, iE x u, x u iN, u	73204.42	0.29	0	0	0	0
