Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
X ioU									0.000	0	0	0.0		0		0	0.000		32	21	10	1	J ioU, X ia, X iE, X iaU, Q ioU, l ioU, X i, X yE, X y, t ioU, n ioU, ueI ioU, m ioU, uo ioU, aU ioU, ioU ioU, iE ioU, a ioU, y ioU, i ioU, u ioU, ioU X ioU, ueI X ioU, X i ioU, X iaU ioU, u X ioU, X ioU ia, X ioU u, X ia ioU, i X ioU, X iE ioU, ioU	362223.247619
x o n									0.000	0	0	0.0		0		0	0.000		5	5	0	0	x @ n, x ua n, x u n, x a n, x o N	71367.8
x o N									0.000	0	0	0.0		0		0	0.000		19	15	4	0	Z o N, c o N, t o N, s o N, n o N, T o N, z o N, C o N, k o N, K o N, x ua N, l o N, x @ N, r o N, x a N, x o N ueI, x o N uaI, x o N i, a x o N	13397.6666667
X o n									0.000	0	0	0.0		0		0	0.000		4	4	0	0	X i n, X iE n, X yE n, X y n	17092.75
X o N									0.000	0	0	0.0		0		0	0.000		16	16	0	0	X ia N, Z o N, c o N, X i N, t o N, s o N, n o N, T o N, z o N, C o N, k o N, K o N, x o N, X io N, l o N, r o N	33674.4375
x oU									0.000	0	0	0.0		0		0	0.000		39	26	12	1	x aU, x ueI, t oU, x uo, z oU, x ua, x eI, S oU, x aI, k oU, T oU, x @, Z oU, x uaI, C oU, x a, K oU, l oU, x u, m oU, r oU, s oU, c oU, f oU, oU oU, P oU, i x oU, x oU ueI, x oU i, x aI oU, u x oU, @r x oU, x oU aI, ioU x oU, x oU @r, x u oU, y x oU, x oU iaU, oU	159818.185897
X oU									0.000	0	0	0.0		0		0	0.000		26	24	1	1	t oU, z oU, X ia, X iE, X iaU, S oU, k oU, x oU, T oU, X i, Z oU, X yE, C oU, X ioU, X y, K oU, l oU, m oU, r oU, s oU, c oU, f oU, oU oU, P oU, X i oU, oU	130508.041667
x u									0.000	0	0	0.0		0		0	0.000		50	35	14	1	p u, x aU, x ueI, x uo, x ua, C u, x eI, Z u, x aI, x oU, x @, S u, f u, t u, l u, K u, r u, x uaI, z u, k u, T u, x a, m u, s u, P u, iaU u, i u, n u, c u, iE u, ioU u, u u, ueI u, uaI u, @r u, x u n, x aU u, ueI x u, x uo u, x ueI u, x u ueI, x u uaI, i x u, x u ioU, u x u, aI x u, x @ u, x u oU, iE x u, u	82779.1
X u									0.000	0	0	0.0		0		0	0.000		39	33	5	1	p u, X ia, C u, X iE, X iaU, Z u, S u, f u, X i, t u, l u, K u, r u, X yE, z u, X ioU, k u, X y, T u, x u, m u, s u, P u, iaU u, i u, n u, c u, iE u, ioU u, u u, ueI u, uaI u, @r u, X ia u, X iaU u, X y u, X ioU u, X i u, u	61004.8242424
x ua									0.000	0	0	0.0		0		0	0.000		30	16	13	1	x aU, x ueI, x uo, x eI, x aI, x oU, x @, x uaI, Z ua, x a, k ua, x u, S ua, K ua, ua ua, aI ua, x ua n, x ua N, @ x ua, ioU x ua, x ua y, x ua @r, x ua ueI, i x ua, iE x ua, x ua i, ueI x ua, u x ua, x ua ia, ua	84981.7548077
X ua									0.000	0	0	0.0		0		0	0.000		16	14	1	1	X ia, x ua, X iE, X iaU, X i, Z ua, X yE, X ioU, X y, k ua, S ua, K ua, ua ua, aI ua, X ia ua, ua	31071.1428571
x uaI									0.000	0	0	0.0		0		0	0.000		25	19	5	1	x aU, x ueI, x uo, K uaI, x ua, x eI, x aI, x oU, x @, k uaI, x a, x u, S uaI, i uaI, @ uaI, Z uaI, C uaI, iE uaI, @r uaI, x uaI i, x aI uaI, x u uaI, x uaI ioU, x aU uaI, uaI	62543.3368421
X uaI									0.000	0	0	0.0		0		0	0.000		19	17	1	1	K uaI, X ia, X iE, X iaU, X i, x uaI, X yE, X ioU, k uaI, X y, S uaI, i uaI, @ uaI, Z uaI, C uaI, iE uaI, @r uaI, X iaU uaI, uaI	20384.0588235
x ua n									0.000	0	0	0.0		0		0	0.000		47	29	16	2	x @ n, C ua n, k ua n, s ua n, t ua n, Z ua n, x u n, x a n, l ua n, x ua N, iE ua n, T ua n, K ua n, z ua n, i ua n, r ua n, n ua n, S ua n, c ua n, u ua n, iaU ua n, x ua y, x ua @r, ueI ua n, x ua ueI, ioU ua n, x ua i, @r ua n, x ua ia, x aU ua n, x ua yE n, @r x ua n, x aI ua n, x ua iE n, x ua n ioU, x ua n a, x ua u@ n, x ua n y, x ua n ueI, x ua n @r, x ua n i, x ua i n, x ua n iaU, x ua n ia, x @ ua n, x ua, ua n	58834.9676724
x ua N									0.000	0	0	0.0		0		0	0.000		32	20	10	2	x ua n, Z ua N, C ua N, S ua N, k ua N, x o N, K ua N, x @ N, i ua N, y ua N, x a N, x ua y, x ua @r, x ua ueI, u ua N, ioU ua N, ueI ua N, x ua i, iaU ua N, x ua ia, x ua ia N, x ua N ioU, x ua N iE, iaU x ua N, x ua N u, x oU ua N, x aI ua N, x ua N ueI, x ueI ua N, x ua N y, x ua, ua N	45200.7
X ua N									0.000	0	0	0.0		0		0	0.000		18	15	2	1	X ia N, X i N, Z ua N, C ua N, S ua N, k ua N, X io N, K ua N, x ua N, i ua N, y ua N, u ua N, ioU ua N, ueI ua N, iaU ua N, X i ua N, X iaU ua N, ua N	54391.4
x ueI									0.000	0	0	0.0		0		0	0.000		51	30	20	1	x aU, x uo, t ueI, z ueI, x ua, x eI, x aI, x oU, x @, i ueI, S ueI, s ueI, x uaI, T ueI, k ueI, x a, x u, Z ueI, C ueI, r ueI, c ueI, K ueI, u ueI, uaI ueI, ueI ueI, ioU ueI, y ueI, iE ueI, iaU ueI, yE ueI, yE x ueI, x ueI i, u x ueI, x ueI @r, i x ueI, uo x ueI, x ueI u, ioU x ueI, x u ueI, x oU ueI, aU x ueI, x ua ueI, y x ueI, x ueI ueI, x ueI yE, x aI ueI, uaI x ueI, x @ ueI, x ueI ioU, x ueI y, ueI	117170.316667
X ueI									0.000	0	0	0.0		0		0	0.000		34	28	5	1	x ueI, t ueI, z ueI, X ia, X iE, X iaU, i ueI, S ueI, X i, s ueI, X yE, T ueI, k ueI, X ioU, X y, Z ueI, C ueI, r ueI, c ueI, K ueI, u ueI, uaI ueI, ueI ueI, ioU ueI, y ueI, iE ueI, iaU ueI, yE ueI, X yE ueI, X i ueI, X y ueI, X ia ueI, X iE ueI, ueI	110524.107143
x u n									0.000	0	0	0.0		0		0	0.000		27	19	7	1	x @ n, x ua n, t u n, k u n, C u n, x a n, l u n, Z u n, c u n, K u n, T u n, S u n, z u n, x u ueI, x u uaI, s u n, r u n, x u ioU, x u oU, i x u n, x u n aU, x u iE n, ueI x u n, x u n iaU, x u n yE, ioU x u n, x u	24333.3684211
x u N									0.000	0	0	0.0		0		0	0.000		11	9	1	1	x u n, x o N, x ua N, x @ N, x a N, x u ueI, x u uaI, x u ioU, x u oU, x u i N, x u	6173.77777778
X u n									0.000	0	0	0.0		0		0	0.000		17	17	0	0	X i n, X iE n, X yE n, x u n, t u n, k u n, C u n, l u n, X y n, Z u n, c u n, K u n, T u n, S u n, z u n, s u n, r u n	5794.94117647
X u N									0.000	0	0	0.0		0		0	0.000		3	3	0	0	X ia N, X i N, X io N	112961.666667
x uo									0.000	0	0	0.0		0		0	0.000		39	28	10	1	x aU, x ueI, S uo, z uo, k uo, Z uo, t uo, x ua, x eI, c uo, x aI, s uo, x oU, x @, x uaI, m uo, l uo, T uo, p uo, x a, x u, P uo, r uo, n uo, C uo, K uo, i uo, f uo, x uo @r, ioU x uo, i x uo, x uo u, x uo yE, x uo iaU, x uo i, iE x uo, x uo iE, uo x uo, uo	1740672.2
X uo									0.000	0	0	0.0		0		0	0.000		28	26	1	1	S uo, x uo, z uo, k uo, Z uo, X ia, t uo, X iE, X iaU, c uo, s uo, X i, X yE, m uo, l uo, T uo, X ioU, p uo, X y, P uo, r uo, n uo, C uo, K uo, i uo, f uo, X iaU uo, uo	1726145.03846
x y									0.000	0	0	0.0		0		0	0.000		33	28	4	1	x aU, x ueI, x uo, Q y, x ua, x eI, x aI, x oU, x @, J y, x uaI, n y, X y, x a, x u, ioU y, l y, uaI y, @ y, iE y, ueI y, i y, yE y, oU y, @r y, y y, ia y, u y, x ua y, x aI y, x ueI y, x eI y, y	76446.8928571
X y									0.000	0	0	0.0		0		0	0.000		35	22	12	1	Q y, X ia, X iE, X iaU, J y, X i, n y, X yE, X ioU, ioU y, l y, uaI y, @ y, iE y, ueI y, i y, yE y, oU y, @r y, y y, ia y, u y, X y iaU, iE X y, X y n, X ia y, X y ueI, u X y, X y i, X y u, X i y, X iaU y, X yE y, ioU X y, y	55964.8787879
x yE									0.000	0	0	0.0		0		0	0.000		27	23	3	1	x aU, x ueI, x uo, x ua, x eI, x aI, x oU, x @, Q yE, x uaI, X yE, x a, x u, J yE, y yE, l yE, n yE, u yE, i yE, @r yE, ioU yE, ueI yE, iaU yE, x @ yE, x uo yE, x ueI yE, yE	66361.7681159
X yE									0.000	0	0	0.0		0		0	0.000		29	17	11	1	X ia, X iE, X iaU, X i, Q yE, X ioU, X y, J yE, y yE, l yE, n yE, u yE, i yE, @r yE, ioU yE, ueI yE, iaU yE, X yE n, i X yE, X yE ueI, X i yE, X yE iE, X yE y, X ia yE, y X yE, X yE i, iaU X yE, X iE yE, yE	32813.0641711
x yE n									0.000	0	0	0.0		0		0	0.000		22	16	5	1	x @ n, x ua n, Q yE n, X yE n, i yE n, x u n, x a n, J yE n, iaU yE n, oU yE n, ueI yE n, u yE n, uaI yE n, @r yE n, aI yE n, ioU yE n, x ua yE n, x oU yE n, x ueI yE n, x uo yE n, x aI yE n, yE n	46763.025
x yE N									0.000	0	0	0.0		0		0	0.000		4	4	0	0	x o N, x ua N, x @ N, x a N	2011.25
X yE n									0.000	0	0	0.0		0		0	0.000		31	18	11	2	X i n, X iE n, Q yE n, i yE n, X y n, J yE n, X yE ueI, iaU yE n, oU yE n, X yE iE, ueI yE n, u yE n, X yE y, uaI yE n, @r yE n, aI yE n, ioU yE n, X yE i, X yE yE n, X iaU yE n, X yE n iaU, X yE n ia, X y yE n, X iE yE n, X i yE n, X yE n uo, X yE u@ n, y X yE n, uo X yE n, yE n, X yE	19993.3737374
X yE N									0.000	0	0	0.0		0		0	0.000		9	8	0	1	X ia N, X i N, X yE n, X io N, X yE ueI, X yE iE, X yE y, X yE i, X yE	50970.625
x y n									0.000	0	0	0.0		0		0	0.000		17	12	4	1	x @ n, x ua n, x u n, x a n, Q y n, J y n, X y n, ia y n, @ y n, aU y n, u y n, i y n, x aU y n, x uaI y n, x uo y n, x aI y n, y n	34500.5833333
x y N									0.000	0	0	0.0		0		0	0.000		4	4	0	0	x o N, x ua N, x @ N, x a N	2011.25
X y n									0.000	0	0	0.0		0		0	0.000		22	14	6	2	X y iaU, X i n, X iE n, X yE n, Q y n, J y n, X y ueI, X y i, ia y n, @ y n, X y u, aU y n, u y n, i y n, X y n uo, X y yE n, X y n i, X y n ioU, X y iE n, X y n y, X y, y n	12801.5238095
X y N									0.000	0	0	0.0		0		0	0.000		9	8	0	1	X ia N, X y iaU, X i N, X io N, X y n, X y ueI, X y i, X y u, X y	53954.625
y									0.000	0	0	0.0		0		0	0.000		43	18	25	0	uo, ioU, iaU, i, iE, a, oU, ueI, @r, aI, @, u, yE, ia, ua, uaI, aU, eI, Q y, J y, n y, X y, y n, ioU y, l y, y yE, uaI y, @ y, iE y, ueI y, i y, yE y, y i, y @r, oU y, @r y, y @, y y, y ueI, y iE, ia y, y ioU, u y	187085.644444
y E									0.000	0	0	0.0		0		0	0.000		10	9	0	1	y n, y yE, y i, y @r, y @, y y, y ueI, y iE, y ioU, y	32850.2222222
y E n									0.000	0	0	0.0		0		0	0.000		5	4	0	1	y iE n, y i n, y a n, y u@ n, y n	3510.75
y E N									0.000	0	0	0.0		0		0	0.000		3	3	0	0	y ua N, y io N, y u@ N	219.0
y n									0.000	0	0	0.0		0		0	0.000		33	15	17	1	ua n, @ n, u@ n, yE n, iE n, a n, i n, y yE, y i, y @r, y @, y y, y ueI, y iE, y ioU, Q y n, J y n, X y n, y iE n, y i n, ia y n, @ y n, aU y n, y n y, u y n, y n i, y a n, i y n, y n ueI, y u@ n, y n ioU, y n u, y	43823.7803922
y N									0.000	0	0	0.0		0		0	0.000		19	15	3	1	io N, ua N, i N, ia N, y n, y yE, a N, y i, y @r, u@ N, y @, y y, y ueI, y iE, y ioU, y ua N, y io N, y u@ N, y	38955.8
