Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
C eI									0.000	0	0	0.0		0		0	0.000		38	37	0	1	xu eI, m eI, tu eI, k eI, t eI, u eI, p eI, zu eI, S eI, C u, x eI, C 1, C @, C aN, C @N, Su eI, su eI, C a, f eI, C oN, l eI, Tu eI, C aU, ku eI, n eI, C oU, P eI, C un, Zu eI, Cu eI, ru eI, C @n, C an, C aI, cu eI, z eI, Ku eI, eI	39491.8108108
c En									0.000	0	0	0.0		0		0	0.000		28	28	0	0	Qi En, ti En, Ji En, Ti En, c 1, c oN, c aI, ni En, Xi En, y En, pi En, li En, Qy En, Pi En, i En, Xy En, mi En, c aU, c aN, Jy En, c an, c un, c @N, c a, c @, c u, c oU, c @n	23327.4642857
C En									0.000	0	0	0.0		0		0	0.000		28	28	0	0	Qi En, ti En, Ji En, Ti En, C u, ni En, C 1, C @, Xi En, y En, C aN, pi En, C @N, li En, Qy En, Pi En, C a, i En, C oN, C aU, Xy En, C oU, mi En, C un, Jy En, C @n, C an, C aI	24152.3928571
ci @									0.000	0	0	0.0		0		0	0.000		17	16	0	1	t @, Z @, k @, n @, K @, C @, x @, S @, r @, T @, l @, s @, z @, c @, aI @, y @, @	177043.5
Ci @									0.000	0	0	0.0		0		0	0.000		17	16	0	1	t @, Z @, k @, n @, K @, C @, x @, S @, r @, T @, l @, s @, z @, c @, aI @, y @, @	177043.5
ci @n									0.000	0	0	0.0		0		0	0.000		17	16	0	1	x @n, r @n, Z @n, k @n, m @n, u @n, f @n, S @n, p @n, K @n, C @n, z @n, P @n, s @n, n @n, c @n, @n	83633.1875
ci @N									0.000	0	0	0.0		0		0	0.000		19	19	0	0	n @N, t @N, Z @N, C @N, S @N, f @N, r @N, m @N, z @N, P @N, T @N, l @N, c @N, x @N, p @N, K @N, k @N, u @N, s @N	16571.7368421
Ci @n									0.000	0	0	0.0		0		0	0.000		17	16	0	1	x @n, r @n, Z @n, k @n, m @n, u @n, f @n, S @n, p @n, K @n, C @n, z @n, P @n, s @n, n @n, c @n, @n	83633.1875
Ci @N									0.000	0	0	0.0		0		0	0.000		19	19	0	0	n @N, t @N, Z @N, C @N, S @N, f @N, r @N, m @N, z @N, P @N, T @N, l @N, c @N, x @N, p @N, K @N, k @N, u @N, s @N	16571.7368421
ci @r									0.000	0	0	0.0		0		0	0.000		7	6	0	1	iN @r, oU @r, y @r, in @r, i @r, u @r, @r	55240.5
Ci @r									0.000	0	0	0.0		0		0	0.000		7	6	0	1	iN @r, oU @r, y @r, in @r, i @r, u @r, @r	55240.5
c i									0.000	0	0	0.0		0		0	0.000		38	32	5	1	n i, l i, J i, c 1, c oN, c aI, Q i, p i, t i, X i, T i, m i, P i, @r i, i i, c aU, c aN, c an, c un, c @N, c a, c @, u i, a i, c u, c oU, @ i, y i, aI i, an i, in i, c @n, c aI i, c @ i, c oN i, c 1 i, c u i, i	290805.425
C i									0.000	0	0	0.0		0		0	0.000		41	32	8	1	n i, l i, J i, C u, Q i, p i, t i, C 1, C @, C aN, C @N, X i, T i, C a, C oN, m i, P i, C aU, C oU, @r i, i i, C un, C @n, C an, u i, C aI, a i, @ i, y i, aI i, an i, in i, C @n i, C @N i, C a i, C aN i, C u i, C 1 i, C un i, C aI i, i	291606.0625
ci a									0.000	0	0	0.0		0		0	0.000		30	29	0	1	T a, p a, m a, n a, t a, Xi a, xu a, Ji a, S a, l a, i a, C a, u a, f a, Zu a, P a, x a, ku a, z a, K a, Z a, s a, Su a, c a, Ku a, Qi a, a a, k a, ti a, a	201033.551724
Ci a									0.000	0	0	0.0		0		0	0.000		30	29	0	1	T a, p a, m a, n a, t a, Xi a, xu a, Ji a, S a, l a, i a, C a, u a, f a, Zu a, P a, x a, ku a, z a, K a, Z a, s a, Su a, c a, Ku a, Qi a, a a, k a, ti a, a	201033.551724
ci an									0.000	0	0	0.0		0		0	0.000		38	37	0	1	xu an, K an, t an, u an, p an, Cu an, T an, ku an, s an, n an, k an, Z an, su an, f an, tu an, S an, m an, Zu an, l an, x an, lu an, P an, c an, C an, z an, r an, Tu an, Ku an, zu an, ru an, nu an, Su an, i an, cu an, in an, y an, an an, an	26289.0540541
ci aN									0.000	0	0	0.0		0		0	0.000		32	31	0	1	Xi aN, r aN, S aN, li aN, p aN, Ji aN, t aN, Z aN, f aN, C aN, Qi aN, u aN, k aN, Zu aN, m aN, Cu aN, T aN, i aN, Su aN, c aN, ku aN, l aN, Ku aN, xu aN, P aN, ni aN, z aN, K aN, s aN, x aN, n aN, aN	29593.8387097
Ci an									0.000	0	0	0.0		0		0	0.000		38	37	0	1	xu an, K an, t an, u an, p an, Cu an, T an, ku an, s an, n an, k an, Z an, su an, f an, tu an, S an, m an, Zu an, l an, x an, lu an, P an, c an, C an, z an, r an, Tu an, Ku an, zu an, ru an, nu an, Su an, i an, cu an, in an, y an, an an, an	26289.0540541
Ci aN									0.000	0	0	0.0		0		0	0.000		32	31	0	1	Xi aN, r aN, S aN, li aN, p aN, Ji aN, t aN, Z aN, f aN, C aN, Qi aN, u aN, k aN, Zu aN, m aN, Cu aN, T aN, i aN, Su aN, c aN, ku aN, l aN, Ku aN, xu aN, P aN, ni aN, z aN, K aN, s aN, x aN, n aN, aN	29593.8387097
ci ar									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
Ci ar									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ci aU									0.000	0	0	0.0		0		0	0.000		30	29	0	1	li aU, x aU, i aU, t aU, Z aU, Ji aU, Xi aU, k aU, Ti aU, z aU, ti aU, l aU, P aU, p aU, S aU, Qi aU, K aU, T aU, C aU, m aU, c aU, mi aU, Pi aU, ni aU, n aU, pi aU, r aU, s aU, aU aU, aU	75005.3448276
Ci aU									0.000	0	0	0.0		0		0	0.000		30	29	0	1	li aU, x aU, i aU, t aU, Z aU, Ji aU, Xi aU, k aU, Ti aU, z aU, ti aU, l aU, P aU, p aU, S aU, Qi aU, K aU, T aU, C aU, m aU, c aU, mi aU, Pi aU, ni aU, n aU, pi aU, r aU, s aU, aU aU, aU	75005.3448276
ci E									0.000	0	0	0.0		0		0	0.000		17	17	0	0	i E, pi E, Xi E, Ji E, y E, Qy E, Xy E, Qi E, Jy E, Ti E, li E, ti E, mi E, ni E, ly E, ny E, Pi E	20148.2352941
Ci E									0.000	0	0	0.0		0		0	0.000		17	17	0	0	i E, pi E, Xi E, Ji E, y E, Qy E, Xy E, Qi E, Jy E, Ti E, li E, ti E, mi E, ni E, ly E, ny E, Pi E	20148.2352941
ci En									0.000	0	0	0.0		0		0	0.000		15	15	0	0	Qi En, ti En, Ji En, Ti En, ni En, Xi En, y En, pi En, li En, Qy En, Pi En, i En, Xy En, mi En, Jy En	32152.3333333
Ci En									0.000	0	0	0.0		0		0	0.000		15	15	0	0	Qi En, ti En, Ji En, Ti En, ni En, Xi En, y En, pi En, li En, Qy En, Pi En, i En, Xy En, mi En, Jy En	32152.3333333
c in									0.000	0	0	0.0		0		0	0.000		27	25	1	1	c 1, c oN, c aI, X in, J in, n in, c aU, c aN, Q in, c an, P in, c un, c @N, l in, c a, c @, m in, c u, p in, c oU, y in, iN in, u in, in in, c @n, c an in, in	18494.28
c iN									0.000	0	0	0.0		0		0	0.000		31	27	3	1	T iN, c 1, c oN, c aI, J iN, X iN, Q iN, p iN, l iN, m iN, t iN, P iN, c aU, c aN, c an, c un, c @N, c a, c @, c u, n iN, in iN, c oU, yn iN, an iN, iN iN, c @n, c aN iN, c @ iN, c oN iN, iN	30655.2222222
C in									0.000	0	0	0.0		0		0	0.000		28	25	2	1	C u, X in, J in, C 1, C @, C aN, C @N, n in, C a, C oN, C aU, C oU, C un, Q in, P in, C @n, l in, C an, C aI, m in, p in, y in, iN in, u in, in in, C aN in, C @N in, in	19401.7
C iN									0.000	0	0	0.0		0		0	0.000		30	27	2	1	T iN, C u, J iN, X iN, Q iN, C 1, p iN, C @, C aN, l iN, C @N, m iN, t iN, C a, C oN, C aU, C oU, P iN, C un, C @n, C an, C aI, n iN, in iN, yn iN, an iN, iN iN, C aN iN, C oN iN, iN	31718.537037
ci on									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ci oN									0.000	0	0	0.0		0		0	0.000		17	17	0	0	Z oN, i oN, c oN, t oN, s oN, n oN, T oN, z oN, C oN, k oN, K oN, x oN, Xi oN, l oN, r oN, Qi oN, Ji oN	15137.3529412
Ci on									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
Ci oN									0.000	0	0	0.0		0		0	0.000		17	17	0	0	Z oN, i oN, c oN, t oN, s oN, n oN, T oN, z oN, C oN, k oN, K oN, x oN, Xi oN, l oN, r oN, Qi oN, Ji oN	15137.3529412
ci oU									0.000	0	0	0.0		0		0	0.000		26	25	0	1	i oU, Ji oU, t oU, z oU, S oU, k oU, x oU, T oU, Qi oU, li oU, Z oU, C oU, Xi oU, K oU, l oU, ti oU, ni oU, m oU, r oU, s oU, c oU, f oU, oU oU, mi oU, P oU, oU	149691.04
Ci oU									0.000	0	0	0.0		0		0	0.000		26	25	0	1	i oU, Ji oU, t oU, z oU, S oU, k oU, x oU, T oU, Qi oU, li oU, Z oU, C oU, Xi oU, K oU, l oU, ti oU, ni oU, m oU, r oU, s oU, c oU, f oU, oU oU, mi oU, P oU, oU	149691.04
c on									0.000	0	0	0.0		0		0	0.000		13	13	0	0	c 1, c oN, c aI, c aU, c aN, c an, c un, c @N, c a, c @, c u, c oU, c @n	13144.9230769
c oN									0.000	0	0	0.0		0		0	0.000		33	28	5	0	c 1, Z oN, i oN, c aI, t oN, s oN, n oN, T oN, z oN, C oN, k oN, c aU, c aN, K oN, x oN, Xi oN, c an, l oN, c un, c @N, c a, c @, r oN, c u, Qi oN, c oU, Ji oN, c @n, c oN @r, u c oN, c oN i, c oN iN, i c oN	11963.9357143
C on									0.000	0	0	0.0		0		0	0.000		13	13	0	0	C u, C 1, C @, C aN, C @N, C a, C oN, C aU, C oU, C un, C @n, C an, C aI	14921.6923077
C oN									0.000	0	0	0.0		0		0	0.000		33	28	5	0	Z oN, i oN, C u, c oN, C 1, C @, C aN, t oN, C @N, s oN, n oN, C a, T oN, z oN, C aU, C oU, k oN, K oN, C un, x oN, Xi oN, l oN, C @n, C an, r oN, C aI, Qi oN, Ji oN, C oN u, C oN aI, C oN y, C oN @r, C oN iN	15628.2642857
c oU									0.000	0	0	0.0		0		0	0.000		37	36	0	1	i oU, Ji oU, t oU, z oU, c 1, c oN, c aI, S oU, k oU, x oU, T oU, Qi oU, li oU, Z oU, C oU, Xi oU, K oU, l oU, c aU, c aN, ti oU, ni oU, m oU, r oU, s oU, c an, c un, c @N, c a, c @, c u, f oU, oU oU, mi oU, P oU, c @n, oU	141290.194444
C oU									0.000	0	0	0.0		0		0	0.000		43	36	6	1	i oU, Ji oU, t oU, z oU, C u, S oU, C 1, C @, k oU, x oU, T oU, C aN, C @N, Qi oU, li oU, C a, Z oU, C oN, C aU, Xi oU, K oU, l oU, ti oU, C un, ni oU, m oU, r oU, s oU, C @n, C an, C aI, c oU, f oU, oU oU, mi oU, P oU, C oU @, @ C oU, iN C oU, i C oU, aI C oU, @n C oU, oU	141635.861111
c u									0.000	0	0	0.0		0		0	0.000		37	34	2	1	p u, c 1, C u, c oN, c aI, Z u, S u, f u, t u, l u, K u, r u, z u, k u, T u, c aU, c aN, x u, m u, s u, c an, P u, c un, c @N, c a, c @, i u, n u, c oU, iN u, u u, yn u, c @n, @r u, c aI u, c u i, u	59093.4705882
